site_spp,A(Const0.01),A(Const0.1),A(Const0.2),A(Const0.3),A(Const0.4),A(Const0.5),E(Const0.01),E(Const0.1),E(Const0.2),E(Const0.3),E(Const0.4),E(Const0.5),gs(Const0.01),gs(Const0.1),gs(Const0.2),gs(Const0.3),gs(Const0.4),gs(Const0.5),gb(Const0.01),gb(Const0.1),gb(Const0.2),gb(Const0.3),gb(Const0.4),gb(Const0.5),Ci(Const0.01),Ci(Const0.1),Ci(Const0.2),Ci(Const0.3),Ci(Const0.4),Ci(Const0.5),Tleaf(Const0.01),Tleaf(Const0.1),Tleaf(Const0.2),Tleaf(Const0.3),Tleaf(Const0.4),Tleaf(Const0.5),Pleaf(Const0.01),Pleaf(Const0.1),Pleaf(Const0.2),Pleaf(Const0.3),Pleaf(Const0.4),Pleaf(Const0.5),Rublim(Const0.01),Rublim(Const0.1),Rublim(Const0.2),Rublim(Const0.3),Rublim(Const0.4),Rublim(Const0.5),Ps,Tair,VPD,Psie,doy,hod,A,E,Ci,gs,gb,Tleaf
drought_only,1.8274541876458417,12.915158657341244,17.337994196781143,19.016017758777767,19.824356408522135,20.288207035650057,0.1745736916567963,1.666344297032906,3.1732637479862267,4.5437784946833455,5.7965989391046735,6.947094401644358,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,11.967132455524654,20.131176454086923,26.734343481377806,30.382309809731574,32.55240079350795,33.96437842559365,25.524109253108453,25.246463409761702,24.978725823138124,24.74638812973249,24.543338705673808,24.36474109823493,-1.4396785564770034,-1.9158212342010457,-2.391963911925088,-2.8681065896491305,-3.304570710896169,-3.741034832143208,True,True,False,False,False,False,-1.4,24.1,1.5,-0.0013333210000000002,1,12,10.9,3.0,23.811375,0.183,2.84,20.32
drought_only,1.8301731833882,12.933938372926976,17.35768444428276,19.031584708868,19.83606360554204,20.296713247821472,0.17441942962724885,1.6650982644156844,3.17132374596891,4.541560573765598,5.794418173042242,6.945190048122202,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,11.923942614225677,20.100970503607247,26.718353795910488,30.373810715028448,32.54756057430011,33.96152839484444,25.42322374133304,25.145887039342533,24.878321020155486,24.646025395811392,24.44292652627111,24.264215073378164,-1.937165993662933,-2.4203239112810637,-2.940647822562129,-3.42380574018026,-3.9441296514613233,-4.427287569079455,True,True,False,False,False,False,-1.9,24.0,1.5,-0.0013333210000000002,2,12,13.3,3.21,21.27825,0.184,2.84,21.04
drought_only,1.8301731833882,12.933938372926976,17.35768444428276,19.031584708868,19.83606360554204,20.296713247821472,0.17441942962724885,1.6650982644156844,3.17132374596891,4.541560573765598,5.794418173042242,6.945190048122202,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,11.923942614225677,20.100970503607247,26.718353795910488,30.373810715028448,32.54756057430011,33.96152839484444,25.42322374133304,25.145887039342533,24.878321020155486,24.646025395811392,24.44292652627111,24.264215073378164,-2.370311886823353,-2.86249509458683,-3.389834245761984,-3.917173396937137,-4.479668491523967,-5.077319529522474,True,True,False,False,False,False,-2.3,24.0,1.5,-0.0013333210000000002,3,12,12.2,2.61,10.74045,0.086,2.84,29.04
drought_only,1.8301731833882,12.933938372926976,17.35768444428276,19.031584708868,19.83606360554204,20.296713247821472,0.17441942962724885,1.6650982644156844,3.17132374596891,4.541560573765598,5.794418173042242,6.945190048122202,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,11.923942614225677,20.100970503607247,26.718353795910488,30.373810715028448,32.54756057430011,33.96152839484444,25.42322374133304,25.145887039342533,24.878321020155486,24.646025395811392,24.44292652627111,24.264215073378164,-2.667296811446469,-3.172022897294989,-3.744045794589979,-4.316068691884968,-4.955388400626427,-5.628356515091123,True,True,False,False,False,False,-2.6,24.0,1.5,-0.0013333210000000002,4,12,6.59,2.38,20.366325,0.0807,2.84,29.29
drought_only,1.8301731833882,12.933938372926976,17.35768444428276,19.031584708868,19.83606360554204,20.296713247821472,0.17441942962724885,1.6650982644156844,3.17132374596891,4.541560573765598,5.794418173042242,6.945190048122202,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,11.923942614225677,20.100970503607247,26.718353795910488,30.373810715028448,32.54756057430011,33.96152839484444,25.42322374133304,25.145887039342533,24.878321020155486,24.646025395811392,24.44292652627111,24.264215073378164,-2.8652867611952124,-3.3875808507569176,-3.9751617015138354,-4.595385932868361,-5.280896925418097,-6.064338059760653,True,True,False,False,False,False,-2.8,24.0,1.5,-0.0013333210000000002,5,12,3.25,1.9,25.432575,0.0618,2.84,29.72
drought_only,1.8301731833882,12.933938372926976,17.35768444428276,19.031584708868,19.83606360554204,20.296713247821472,0.17441942962724885,1.6650982644156844,3.17132374596891,4.541560573765598,5.794418173042242,6.945190048122202,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,11.923942614225677,20.100970503607247,26.718353795910488,30.373810715028448,32.54756057430011,33.96152839484444,25.42322374133304,25.145887039342533,24.878321020155486,24.646025395811392,24.44292652627111,24.264215073378164,-3.0632767109439567,-3.60112875396759,-4.233895863407159,-4.898301328318705,-5.657621859646187,-6.606772523805537,True,True,False,False,False,False,-3.0,24.0,1.5,-0.0013333210000000002,6,12,8.86,1.69,20.6703,0.106,2.84,23.28
drought_only,1.8301731833882,12.933938372926976,17.35768444428276,19.031584708868,19.83606360554204,20.296713247821472,0.17441942962724885,1.6650982644156844,3.17132374596891,4.541560573765598,5.794418173042242,6.945190048122202,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,11.923942614225677,20.100970503607247,26.718353795910488,30.373810715028448,32.54756057430011,33.96152839484444,25.42322374133304,25.145887039342533,24.878321020155486,24.646025395811392,24.44292652627111,24.264215073378164,-3.5582515853158165,-4.169893231131885,-4.898038047579586,-5.742686034658918,-6.849466155659425,-9.2960327389237,True,True,False,False,False,False,-3.5,24.0,1.5,-0.0013333210000000002,7,12,15.4,2.77,21.379575,0.214,2.84,22.34
drought_only,1.8301731833882,12.933938372926976,17.35768444428276,19.031584708868,19.83606360554204,20.296713247821472,0.17441942962724885,1.6650982644156844,3.17132374596891,4.541560573765598,5.794418173042242,6.945190048122202,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,11.923942614225677,20.100970503607247,26.718353795910488,30.373810715028448,32.54756057430011,33.96152839484444,25.42322374133304,25.145887039342533,24.878321020155486,24.646025395811392,24.44292652627111,24.264215073378164,-4.079839689531513,-4.771783665471292,-5.6500202503179375,-6.847615593290634,-9.2960327389237,-9.2960327389237,True,True,False,False,False,False,-4.0,24.0,1.5,-0.0013333210000000002,8,12,10.6,2.89,19.150425,0.121,2.84,26.46
drought_only,1.8301731833882,12.933938372926976,17.35768444428276,19.031584708868,19.83606360554204,20.296713247821472,0.17441942962724885,1.6650982644156844,3.17132374596891,4.541560573765598,5.794418173042242,6.945190048122202,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,11.923942614225677,20.100970503607247,26.718353795910488,30.373810715028448,32.54756057430011,33.96152839484444,25.42322374133304,25.145887039342533,24.878321020155486,24.646025395811392,24.44292652627111,24.264215073378164,-4.572302001089302,-5.391724680101391,-6.572657364559992,-9.2960327389237,-9.2960327389237,-9.2960327389237,True,True,False,False,False,False,-4.5,24.0,1.5,-0.0013333210000000002,9,12,10.6,2.89,19.150425,0.121,2.84,26.46
drought_only,1.8301731833882,12.933938372926976,17.35768444428276,19.031584708868,19.83606360554204,20.296713247821472,0.17441942962724885,1.6650982644156844,3.17132374596891,4.541560573765598,5.794418173042242,6.945190048122202,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,11.923942614225677,20.100970503607247,26.718353795910488,30.373810715028448,32.54756057430011,33.96152839484444,25.42322374133304,25.145887039342533,24.878321020155486,24.646025395811392,24.44292652627111,24.264215073378164,-5.0863524168627885,-6.1009933150005455,-8.000746485981884,-9.2960327389237,-9.2960327389237,-9.2960327389237,True,True,False,False,False,False,-5.0,24.0,1.5,-0.0013333210000000002,10,12,10.9,3.0,23.811375,0.183,2.84,20.32
drought_only,1.8301731833882,12.933938372926976,17.35768444428276,19.031584708868,19.83606360554204,20.296713247821472,0.17441942962724885,1.6650982644156844,3.17132374596891,4.541560573765598,5.794418173042242,6.945190048122202,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,11.923942614225677,20.100970503607247,26.718353795910488,30.373810715028448,32.54756057430011,33.96152839484444,25.42322374133304,25.145887039342533,24.878321020155486,24.646025395811392,24.44292652627111,24.264215073378164,-6.1490668072880075,-8.086935302032092,-9.2960327389237,-9.2960327389237,-9.2960327389237,-9.2960327389237,True,True,False,False,False,False,-6.0,24.0,1.5,-0.0013333210000000002,11,12,13.3,3.21,21.27825,0.184,2.84,21.04
drought_only,1.8301731833882,12.933938372926976,17.35768444428276,19.031584708868,19.83606360554204,20.296713247821472,0.17441942962724885,1.6650982644156844,3.17132374596891,4.541560573765598,5.794418173042242,6.945190048122202,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,11.923942614225677,20.100970503607247,26.718353795910488,30.373810715028448,32.54756057430011,33.96152839484444,25.42322374133304,25.145887039342533,24.878321020155486,24.646025395811392,24.44292652627111,24.264215073378164,-6.355579534619283,-8.860410041989713,-9.2960327389237,-9.2960327389237,-9.2960327389237,-9.2960327389237,True,True,False,False,False,False,-6.2,24.0,1.5,-0.0013333210000000002,12,12,12.2,2.61,10.74045,0.086,2.84,29.04
drought_only,1.8301731833882,12.933938372926976,17.35768444428276,19.031584708868,19.83606360554204,20.296713247821472,0.17441942962724885,1.6650982644156844,3.17132374596891,4.541560573765598,5.794418173042242,6.945190048122202,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,11.923942614225677,20.100970503607247,26.718353795910488,30.373810715028448,32.54756057430011,33.96152839484444,25.42322374133304,25.145887039342533,24.878321020155486,24.646025395811392,24.44292652627111,24.264215073378164,-3.0632767109439567,-3.60112875396759,-4.233895863407159,-4.898301328318705,-5.657621859646187,-6.606772523805537,True,True,False,False,False,False,-3.0,24.0,1.5,-0.0013333210000000002,13,12,6.59,2.38,20.366325,0.0807,2.84,29.29
drought_only,1.8301731833882,12.933938372926976,17.35768444428276,19.031584708868,19.83606360554204,20.296713247821472,0.17441942962724885,1.6650982644156844,3.17132374596891,4.541560573765598,5.794418173042242,6.945190048122202,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,11.923942614225677,20.100970503607247,26.718353795910488,30.373810715028448,32.54756057430011,33.96152839484444,25.42322374133304,25.145887039342533,24.878321020155486,24.646025395811392,24.44292652627111,24.264215073378164,-1.5391760439141895,-2.009288570884463,-2.518577141768926,-2.9886896687391986,-3.419626151795283,-3.889738678765557,True,True,False,False,False,False,-1.5,24.0,1.5,-0.0013333210000000002,14,12,3.25,1.9,25.432575,0.0618,2.84,29.72
HW_and_drought_constD,1.8301731833882,12.933938372926976,17.35768444428276,19.031584708868,19.83606360554204,20.296713247821472,0.17441942962724885,1.6650982644156844,3.17132374596891,4.541560573765598,5.794418173042242,6.945190048122202,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,11.923942614225677,20.100970503607247,26.718353795910488,30.373810715028448,32.54756057430011,33.96152839484444,25.42322374133304,25.145887039342533,24.878321020155486,24.646025395811392,24.44292652627111,24.264215073378164,-1.4396785564770034,-1.9158212342010457,-2.391963911925088,-2.8681065896491305,-3.304570710896169,-3.741034832143208,True,True,False,False,False,False,-1.4,24.0,1.5,-0.0013333210000000002,1,12,10.9,3.0,23.811375,0.183,2.84,20.32
HW_and_drought_constD,1.8301731833882,12.933938372926976,17.35768444428276,19.031584708868,19.83606360554204,20.296713247821472,0.17441942962724885,1.6650982644156844,3.17132374596891,4.541560573765598,5.794418173042242,6.945190048122202,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,11.923942614225677,20.100970503607247,26.718353795910488,30.373810715028448,32.54756057430011,33.96152839484444,25.42322374133304,25.145887039342533,24.878321020155486,24.646025395811392,24.44292652627111,24.264215073378164,-1.937165993662933,-2.4203239112810637,-2.940647822562129,-3.42380574018026,-3.9441296514613233,-4.427287569079455,True,True,False,False,False,False,-1.9,24.0,1.5,-0.0013333210000000002,2,12,14.9,4.64,18.137175,0.168,2.84,26.76
HW_and_drought_constD,1.8301731833882,12.933938372926976,17.35768444428276,19.031584708868,19.83606360554204,20.296713247821472,0.17441942962724885,1.6650982644156844,3.17132374596891,4.541560573765598,5.794418173042242,6.945190048122202,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,11.923942614225677,20.100970503607247,26.718353795910488,30.373810715028448,32.54756057430011,33.96152839484444,25.42322374133304,25.145887039342533,24.878321020155486,24.646025395811392,24.44292652627111,24.264215073378164,-2.370311886823353,-2.86249509458683,-3.389834245761984,-3.917173396937137,-4.479668491523967,-5.077319529522474,True,True,False,False,False,False,-2.3,24.0,1.5,-0.0013333210000000002,3,12,9.72,4.45,23.9127,0.16899999999999998,2.84,26.07
HW_and_drought_constD,1.8301731833882,12.933938372926976,17.35768444428276,19.031584708868,19.83606360554204,20.296713247821472,0.17441942962724885,1.6650982644156844,3.17132374596891,4.541560573765598,5.794418173042242,6.945190048122202,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,11.923942614225677,20.100970503607247,26.718353795910488,30.373810715028448,32.54756057430011,33.96152839484444,25.42322374133304,25.145887039342533,24.878321020155486,24.646025395811392,24.44292652627111,24.264215073378164,-2.667296811446469,-3.172022897294989,-3.744045794589979,-4.316068691884968,-4.955388400626427,-5.628356515091123,True,True,False,False,False,False,-2.6,24.0,1.5,-0.0013333210000000002,4,12,14.8,3.94,23.406075,0.245,2.84,20.34
HW_and_drought_constD,1.8301731833882,12.933938372926976,17.35768444428276,19.031584708868,19.83606360554204,20.296713247821472,0.17441942962724885,1.6650982644156844,3.17132374596891,4.541560573765598,5.794418173042242,6.945190048122202,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,11.923942614225677,20.100970503607247,26.718353795910488,30.373810715028448,32.54756057430011,33.96152839484444,25.42322374133304,25.145887039342533,24.878321020155486,24.646025395811392,24.44292652627111,24.264215073378164,-2.8652867611952124,-3.3875808507569176,-3.9751617015138354,-4.595385932868361,-5.280896925418097,-6.064338059760653,True,True,False,False,False,False,-2.8,24.0,1.5,-0.0013333210000000002,5,12,13.3,3.21,21.27825,0.184,2.84,21.04
HW_and_drought_constD,1.653620559793258,10.966501874850938,14.632545575911289,16.246029226839873,17.151188026092587,17.745525077585953,0.1856126857790512,1.7557132571697716,3.313398107153092,4.706197305833673,5.960155272499741,7.096027005651237,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,14.72849938937081,23.268107782392306,28.943635694503328,31.913483996982446,33.679275371433214,34.83760032188127,31.492840923775834,31.192861958882247,30.91237256892415,30.676107635185538,30.475185701957106,30.30285192320871,-3.0632767109439567,-3.6644054649115465,-4.297172574351114,-4.993216394734639,-5.75253692606212,-6.7649643011654295,True,True,False,False,False,False,-3.0,30.0,1.5,-0.0013333210000000002,6,12,10.6,2.98,23.406075,0.17300000000000001,2.84,20.86
HW_and_drought_constD,0.59509850863591,1.1246425868930228,1.2858446390148122,1.4016645178439984,1.493516784608215,1.5684739547174558,0.2440699819501885,2.1711854274808973,3.9039972210363847,5.35146010779066,6.60445731466128,7.7193576594785345,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,31.539984789301137,39.1845921502136,39.944414211829965,40.21996050829802,40.36613684579027,40.458444261667296,46.8730849320025,46.463265615566435,46.125867703577086,45.869044024602644,45.66620913538143,45.501162370766366,-3.5873773779737244,-4.4028995723951505,-5.305799144790299,-6.383453473132898,-8.189252617923195,-9.2960327389237,True,True,True,True,True,True,-3.5,45.0,1.5,-0.0013333210000000002,7,12,12.4,3.18,18.2385,0.132,2.84,24.71
HW_and_drought_constD,0.489957314054611,0.8573327883794248,0.9781709879884888,1.0670953013902271,1.138014180019569,1.1959218587505145,0.2506099769898828,2.2174733387607715,3.9705031124752885,5.4256324635608495,6.680297549999197,7.794151039661807,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,33.2104336316357,39.61616546209881,40.197117183969134,40.40630004560881,40.517173841433674,40.58723633351624,47.91261138564924,47.490666433963185,47.14682094804481,46.887202904408,46.68338766204644,46.518281668703956,-4.106452919375351,-5.064529193753508,-6.262124536726204,-8.39118292423322,-9.2960327389237,-9.2960327389237,True,True,True,True,True,True,-4.0,46.0,1.5,-0.0013333210000000002,8,12,15.3,3.79,17.326575,0.156,2.84,24.92
HW_and_drought_constD,0.3940166454000361,0.6456379683242744,0.7363978577603137,0.8045275006692332,0.8590615742670372,0.9035695198970513,0.25764074141829924,2.2669150962025393,4.041251219240135,5.504373699354721,6.760770527126435,7.873570148008605,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,34.73490390662964,39.957931205234864,40.395667419239075,40.55250677726917,40.63565491869197,40.68827004494214,48.95432213991993,48.51943224552577,48.168745721368474,47.90614233844535,47.701229809249675,47.535975791803274,-4.620503335148837,-5.801436019607436,-7.75359004901859,-9.2960327389237,-9.2960327389237,-9.2960327389237,True,True,True,True,True,True,-4.5,47.0,1.5,-0.0013333210000000002,9,12,12.2,2.61,10.74045,0.086,2.84,29.04
HW_and_drought_constD,0.30933224258769715,0.4801421274373013,0.5484371084874218,0.6005250928344129,0.6423033481509881,0.6763563114332901,0.2652009791985163,2.3197194879035163,4.116479787425568,5.587904018466375,6.846068515430032,7.957779407076443,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,36.08070000746866,40.225098500626885,40.55000440919483,40.66607718708804,40.727693133003505,40.766765658155634,49.99829753941511,49.549591488435134,49.191653940249346,48.92586903216487,48.71973987952014,48.55424752041292,-5.151116729509878,-6.705460233040062,-9.2960327389237,-9.2960327389237,-9.2960327389237,-9.2960327389237,True,True,True,True,True,True,-5.0,48.0,1.5,-0.0013333210000000002,10,12,9.72,2.28,11.855025,0.07200000000000001,2.84,29.36
HW_and_drought_constD,0.1766124876173987,0.2544808464632444,0.29325600445104144,0.3234723567237072,0.3477176901519633,0.36739472742154095,0.28207964471091296,2.4363072047321483,4.281368924607529,5.770224675297304,7.0318989942277765,8.141199612925504,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,38.190315575508784,40.58936518412806,40.75949300335425,40.820263520745456,40.85272242909495,40.87344716813533,52.09337199260146,51.61419961814166,51.24046470282565,50.96770939851574,50.75878084908603,50.59253574923014,-6.231881700225787,-9.2960327389237,-9.2960327389237,-9.2960327389237,-9.2960327389237,-9.2960327389237,True,True,True,True,True,True,-6.0,50.0,1.5,-0.0013333210000000002,11,12,10.8,2.47,13.17225,0.0858,2.84,28.23
HW_and_drought_constD,0.0892647194761848,0.1250361627581269,0.14695312037442834,0.1642293130464773,0.1780564744909494,0.18921703501886095,0.3016183603392583,2.5691337386729343,4.467221395497028,5.974392852694768,7.239275737361808,8.345608400975086,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,39.579156666562135,40.798291625346096,40.87955955815299,40.908839368946644,40.924681053788426,40.934919961217695,54.19851065772431,53.68470002146478,53.29333435777579,53.012772031527795,52.80054514487137,52.63317238639946,-6.480043162314707,-9.2960327389237,-9.2960327389237,-9.2960327389237,-9.2960327389237,-9.2960327389237,True,True,True,True,True,True,-6.2,52.0,1.5,-0.0013333210000000002,12,12,9.24,1.8,9.48402,0.0624,2.84,28.14
HW_and_drought_constD,1.1362875568622628,3.522384726016776,4.255525875213784,4.663520681043014,4.966535379643013,5.207096196141022,0.21756012958662252,2.0154262588464986,3.6273279415174926,5.0416860927775975,6.288004173172003,7.408779433201847,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,22.94428367277443,35.279798313052204,37.504238588733436,38.40195752208042,38.88923292491678,39.19922493438037,41.70552317907862,41.34033260001382,41.03520286013425,40.789692692061344,40.59010997033461,40.424096346834524,-3.0632767109439567,-3.759320531327481,-4.4553643517110055,-5.18304652756651,-6.005643769837947,-7.1446245668291715,True,True,True,True,True,True,-3.0,40.0,1.5,-0.0013333210000000002,13,12,6.59,2.38,20.366325,0.0807,2.84,29.29
HW_and_drought_constD,1.473844065590721,7.574354999379199,9.586614753136212,10.761765628847424,11.301889255565436,11.81991017661788,0.19890380831275015,1.8636782713528413,3.484668478790793,4.815627087942555,6.172062838149308,7.300601158276824,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,17.583952024594204,28.734182391269574,33.07898896444799,34.999546628618816,36.159739382263,36.883312878502366,36.581489484352744,36.25437015096018,35.957777070288984,35.72856691354424,35.514195034903175,35.34593055408259,-1.5783520878283792,-2.087640658712842,-2.596929229597305,-3.0670417565675785,-3.576330327452041,-4.007266810508125,True,True,True,True,False,False,-1.5,35.0,1.5,-0.0013333210000000002,14,12,6.23,1.57,8.9064675,0.0408,2.84,32.49
HW_and_drought_varD_pwr,1.8291076708747125,12.918893709996595,17.333661296323687,19.006434792215106,19.812627415473514,20.276312821093363,0.145884195913968,1.3926197749049234,2.65206996610828,3.7973446932955928,4.843937817216528,5.804617136456492,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,11.940838446152046,20.12482682561595,26.737400548769845,30.38710412264061,32.556851265948026,33.967998186176985,25.462629150470878,25.223787260032097,24.9930721175256,24.792540352391402,24.61703947251343,24.462480115008397,-1.4396785564770034,-1.8364641212470387,-2.233249686017074,-2.5903566943101057,-2.9474637026031374,-3.304570710896169,True,True,False,False,False,False,-1.4,24.0,1.2035392059999999,-0.0013333210000000002,1,12,10.9,3.0,23.811375,0.183,2.84,20.32
HW_and_drought_varD_pwr,1.8291076708747125,12.918893709996595,17.333661296323687,19.006434792215106,19.812627415473514,20.276312821093363,0.145884195913968,1.3926197749049234,2.65206996610828,3.7973446932955928,4.843937817216528,5.804617136456492,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,11.940838446152046,20.12482682561595,26.737400548769845,30.38710412264061,32.556851265948026,33.967998186176985,25.462629150470878,25.223787260032097,24.9930721175256,24.792540352391402,24.61703947251343,24.462480115008397,-1.937165993662933,-2.3459919239551983,-2.7548178542474626,-3.1636437845397283,-3.5724697148319926,-3.9441296514613233,True,True,False,False,False,False,-1.9,24.0,1.2035392059999999,-0.0013333210000000002,2,12,14.9,4.64,18.137175,0.168,2.84,26.76
